Type;Node1;Node2;Distance(m);MaxWidth(cm);MaxLength(cm);MaxDraught(cm);MaxHeight(cm);DefaultPassageDuration;AvgProcessingTime
DEFAULT;0;41;217,081330505961;960;8600;249;2147483647;86,8325322023846;0
DEFAULT;0;281;512,653420490907;960;8600;249;2147483647;205,061368196363;0
DEFAULT;1;43;2085,18939428896;960;8600;249;2147483647;834,075757715584;0
DEFAULT;1;45;1679,26381978973;960;8600;249;2147483647;671,705527915892;0
DEFAULT;2;47;896,251527893132;960;8600;249;2147483647;358,500611157253;0
DEFAULT;2;49;1115,80273356096;960;8600;249;2147483647;446,321093424385;0
DEFAULT;3;65;40,0714684852703;960;8600;249;2147483647;16,0285873941081;0
DEFAULT;3;282;1192,74567143331;960;8600;249;2147483647;477,098268573325;0
DEFAULT;282;67;119,74567143331;960;8600;249;2147483647;4,098268573325;0
DEFAULT;4;284;1022,98303813369;960;8600;249;2147483647;409,193215253475;0
DEFAULT;284;71;102,98303813369;960;8600;249;2147483647;40,19321525347;0
DEFAULT;4;73;647,142716661969;1150;11000;279;2147483647;258,857086664788;0
DEFAULT;5;75;80,7709456056916;1150;11000;279;2147483647;32,3083782422766;0
DEFAULT;5;77;317,033642649399;1150;11000;279;2147483647;126,81345705976;0
DEFAULT;6;81;618,083202520036;1150;11000;279;2147483647;247,233281008014;0
DEFAULT;6;83;2924,83417757197;1150;11000;279;2147483647;1169,93367102879;0
DEFAULT;6;223;319,351912003241;1150;11000;279;2147483647;76,6444588807777;0
DEFAULT;7;83;14,7637874463543;1150;11000;279;2147483647;5,9055149785417;0
DEFAULT;7;85;1384,28024684387;1150;11000;279;2147483647;553,712098737549;0
DEFAULT;8;85;405,500114818216;1150;11000;279;2147483647;162,200045927287;0
DEFAULT;8;87;603,157785074074;1150;11000;279;2147483647;241,26311402963;0
DEFAULT;9;87;86,250203367721;1150;11000;279;2147483647;34,5000813470884;0
DEFAULT;9;10;1243,93512442359;1150;11000;279;2147483647;497,574049769434;0
DEFAULT;10;9;1243,93512442359;1150;11000;279;2147483647;497,574049769434;0
DEFAULT;10;89;996,692970946832;1150;11000;279;2147483647;398,677188378733;0
DEFAULT;11;95;724,7682944;1150;11000;279;2147483647;289,90731776;0
DEFAULT;11;97;1007,29022090276;750;7300;229;2147483647;1208,74826508332;0
DEFAULT;11;151;1039,36536279457;1150;11000;279;2147483647;249,447687070698;0
DEFAULT;12;107;24,3007328949852;750;7300;229;2147483647;29,1608794739822;0
DEFAULT;12;109;6358,78161104459;505;3850;189;2147483647;7630,53793325351;0
DEFAULT;13;109;7217,57237648704;505;3850;189;2147483647;8661,08685178445;0
DEFAULT;13;111;814,221553827238;505;3850;189;2147483647;977,065864592685;0
DEFAULT;14;113;51,4354166528016;505;3850;189;2147483647;61,7224999833619;0
DEFAULT;14;115;61,5736844354929;510;3850;159;2147483647;73,8884213225915;0
DEFAULT;15;117;16,518811935406;510;3850;159;2147483647;19,8225743224872;0
DEFAULT;15;119;682,726171960739;510;3850;159;2147483647;819,271406352887;0
DEFAULT;16;127;32,8279222904482;510;3850;159;2147483647;39,3935067485379;0
DEFAULT;16;17;251,245490993321;510;3850;159;2147483647;301,494589191985;0
DEFAULT;17;16;251,245490993321;510;3850;159;2147483647;301,494589191985;0
DEFAULT;17;129;168,448061076148;510;1500;159;2147483647;202,137673291378;0
DEFAULT;18;147;24,85408604773;510;1500;159;2147483647;29,824903257276;0
DEFAULT;18;149;152,805736372288;660;3850;159;2147483647;183,366883646745;0
DEFAULT;19;149;124,296652236778;660;3850;159;2147483647;149,155982684134;0
DEFAULT;20;153;3488,29429193921;1150;11000;279;2147483647;837,190630065411;0
DEFAULT;20;155;1828,04210104862;1150;11000;279;2147483647;438,730104251668;0
DEFAULT;21;167;382,853319033504;1150;11000;279;2147483647;91,884796568041;0
DEFAULT;21;169;56,1577486048788;510;3850;159;2147483647;25,2709868721954;0
DEFAULT;22;171;34,2721963876118;510;3850;159;2147483647;15,4224883744253;0
DEFAULT;22;173;966,677874811771;510;3850;159;2147483647;435,005043665297;0
DEFAULT;23;183;866,133076950569;510;3850;159;2147483647;389,759884627756;0
DEFAULT;23;185;1473,3792898044;510;3850;159;2147483647;663,02068041198;0
DEFAULT;24;191;1,95759737363636;510;3850;159;2147483647;0,880918818136361;0
DEFAULT;25;193;312,958095534184;960;8600;279;2147483647;75,1099429282042;0
DEFAULT;25;195;817,479184068404;1150;11000;279;2147483647;196,195004176417;0
DEFAULT;26;193;1092,21518722196;960;8600;279;2147483647;262,13164493327;0
DEFAULT;27;211;23,7136482182995;1150;11000;279;2147483647;5,69127557239189;0
DEFAULT;27;213;756,075524080859;1150;11000;279;2147483647;181,458125779406;0
DEFAULT;28;217;2593,88379496608;1150;11000;279;2147483647;622,532110791859;0
DEFAULT;28;219;428,656399354594;1150;11000;279;2147483647;102,877535845103;0
DEFAULT;29;221;54,6862216374632;1150;11000;279;2147483647;13,1246931929912;0
DEFAULT;29;223;21,192229490953;1150;11000;279;2147483647;5,08613507782873;0
DEFAULT;30;227;329,982769367996;1150;11000;259;2147483647;148,492246215598;0
DEFAULT;31;229;115,606215963034;1150;11000;259;2147483647;52,0227971833651;0
DEFAULT;31;231;2014,55293245251;1150;11000;259;2147483647;906,548819603629;0
DEFAULT;32;235;82,1560138038067;1150;11000;259;2147483647;36,970206211713;0
DEFAULT;32;237;1507,81449891884;1150;11000;259;2147483647;678,516524513479;0
DEFAULT;33;243;67,2226326973168;1150;11000;259;2147483647;30,2501847137926;0
DEFAULT;33;245;24,8449511120719;1150;11000;259;2147483647;11,1802280004324;0
DEFAULT;34;255;8,24236618327923;1150;11000;259;2147483647;3,70906478247565;0
DEFAULT;34;257;53,2758460931983;510;3850;179;2147483647;23,9741307419392;0
DEFAULT;38;273;339,76453109509;1030;8600;239;2147483647;135,905812438036;0
DEFAULT;39;279;90,1083636528051;1030;8600;239;2147483647;36,0433454611221;0
DEFAULT;39;40;603,897031104019;1030;8600;239;2147483647;241,558812441608;0
DEFAULT;40;39;603,897031104019;1030;8600;239;2147483647;241,558812441608;0
DEFAULT;40;281;665,660286466011;960;8600;249;2147483647;266,264114586404;0
DEFAULT;41;0;217,081330505961;960;8600;249;2147483647;86,8325322023846;0
DEFAULT;41;43;971,370685277393;960;8600;249;2147483647;388,548274110957;0
DEFAULT;43;41;971,370685277393;960;8600;249;2147483647;388,548274110957;0
DEFAULT;43;1;2085,18939428896;960;8600;249;2147483647;834,075757715584;0
DEFAULT;45;1;1679,26381978973;960;8600;249;2147483647;671,705527915892;0
DEFAULT;45;47;1545,76372598481;960;8600;249;2147483647;618,305490393923;0
DEFAULT;47;45;1545,76372598481;960;8600;249;2147483647;618,305490393923;0
DEFAULT;47;2;896,251527893132;960;8600;249;2147483647;358,500611157253;0
DEFAULT;49;2;1115,80273356096;960;8600;249;2147483647;446,321093424385;0
DEFAULT;49;51;144,49247202123;960;8600;249;2147483647;57,7969888084919;0
DEFAULT;51;49;144,49247202123;960;8600;249;2147483647;57,7969888084919;0
DEFAULT;51;53;1761,06899527634;960;8600;249;2147483647;704,427598110538;0
DEFAULT;53;51;1761,06899527634;960;8600;249;2147483647;704,427598110538;0
DEFAULT;53;55;238,079542500704;960;8600;249;2147483647;95,2318170002816;0
DEFAULT;55;53;238,079542500704;960;8600;249;2147483647;95,2318170002816;0
DEFAULT;55;57;224,210336652236;960;8600;249;2147483647;89,6841346608946;0
DEFAULT;57;55;224,210336652236;960;8600;249;2147483647;89,6841346608946;0
DEFAULT;57;59;539,412362539818;960;8600;249;2147483647;215,764945015927;0
DEFAULT;59;57;539,412362539818;960;8600;249;2147483647;215,764945015927;0
DEFAULT;59;63;355,715925832299;960;8600;249;2147483647;142,28637033292;0
DEFAULT;63;59;355,715925832299;960;8600;249;2147483647;142,28637033292;0
DEFAULT;63;65;197,21026303665;960;8600;249;2147483647;78,8841052146602;0
DEFAULT;65;63;197,21026303665;960;8600;249;2147483647;78,8841052146602;0
DEFAULT;65;3;40,0714684852703;960;8600;249;2147483647;16,0285873941081;0
DEFAULT;67;282;119,74567143331;960;8600;249;2147483647;47,098268573325;0
