Type;Node1;Node2;Distance(m);MaxWidth(cm);MaxLength(cm);MaxDraught(cm);MaxHeight(cm);DefaultPassageDuration;AvgProcessingTime
;8;2;10;960;8600;250;2147483647;86,8325322;0

;2;7;100;960;8600;250;2147483647;834,0757577;0

;5;6;100;960;8600;250;2147483647;446,3210934;0
;1;8;90;960;8600;250;2147483647;86,8325322;0
;2;11;90;960;8600;250;2147483647;86,8325322;0
;11;3;10;960;8600;250;2147483647;86,8325322;0
;3;10;10;960;8600;250;2147483647;86,8325322;0
;10;5;90;960;8600;250;2147483647;86,8325322;0
;3;9;10;960;8600;250;2147483647;86,8325322;0
;9;4;90;960;8600;250;2147483647;86,8325322;0
